,Hoax Words,Frequency
1002,beres,1
1003,berfikir,3
1004,berg,1
1005,berger,1
1006,berharapa,1
1007,berhnti,1
1008,beri,1
1009,beris,1
1010,berita,21
1011,berjulid,1
1012,berkordinasi,1
1013,berkunjubg,1
1014,berliterasi,1
1015,bermanf,1
1016,bermedsos,3
1017,bermerk,1
1018,bermilanials,1
1019,beroprasi,2
1020,berp,2
1021,berplat,1
1022,bers,2
1023,bersahat,1
1024,bersholawat,4
1025,bersih,20
1026,bersikukuh,1
1027,bersolide,1
1028,bersosmed,1
1029,bert,1
1030,beruang,1
1031,berudu,2
1032,berusha,1
1033,besar,15
1034,besdeeeey,1
1035,besea,1
1036,besi,2
1037,besok,1
1038,besuk,2
1039,betawi,2
1040,betewe,1
1041,betol,1
1042,betulin,1
1043,betuul,1
1044,beud,3
1045,beuutt,1
1046,bezuk,2
1047,bflp,2
1048,bgsttt,1
1049,bgt,29
1050,bhakti,1
1051,bhanuteja,2
1052,bharwani,1
1053,bhas,1
1054,bhasa,1
1055,bhaskara,1
1056,bhs,3
1057,bhsnya,1
1058,bia,1
1059,biadab,1
1060,biar,40
1061,biasa,18
1062,biasaaaa,1
1063,biasak,1
1064,biasany,2
1065,biaya,19
1066,bicar,1
1067,bicara,18
1068,bidang,6
1069,bijak,58
1070,bijakkk,1
1071,bijb,2
1072,biji,3
1073,bika,1
1074,bikin,7
1075,bikinin,2
1076,bilan,1
1077,bilang,15
1078,bilanh,1
1079,bima,6
1080,bimas,1
1081,bina,7
1082,bincang,6
1083,binggung,1
1084,bingk,1
1085,bingkis,2
1086,bingung,2
1087,binsar,9
1088,bintang,2
1089,bintaro,1
1090,bio,2
1091,biofuel,1
1092,biografi,1
1093,bipa,1
1094,birokrasi,2
1095,birokrat,1
1096,birus,1
1097,bis,1
1098,bisa,6
1099,bisaaa,1
1100,bisik,11
1101,bisikkin,1
1102,bismilah,1
1103,bisnis,7
1104,bisri,1
1105,bisu,1
1106,biswanath,1
1107,biup,3
1108,biyen,1
1109,biznet,1
1110,bjo,1
1111,bking,1
1112,bknkah,1
1113,bla,5
1114,blabla,1
1115,black,1
1116,blackout,3
1117,blaga,1
1118,blak,5
1119,blakan,5
1120,blangkon,1
1121,blanko,2
1122,blast,2
1123,blegug,1
1124,blepot,2
1125,bless,2
1126,blh,2
1127,bliin,1
1128,blimbing,9
1129,blit,1
1130,blitar,1
1131,bljar,1
1132,blk,1
1133,blkg,1
1134,bln,1
1135,bloc,1
1136,block,5
1137,blocked,2
1138,blogspot,2
1139,blok,2
1140,blokir,3
1141,blooming,1
1142,blorong,1
1143,blossom,2
1144,blowned,1
1145,blue,1
1146,blum,1
1147,blunggembloeng,1
1148,blur,1
1149,blusukan,1
1150,bnb,1
1151,bnget,1
1152,bngsa,1
1153,bni,2
1154,bnpb,4
1155,bnpt,2
1156,bntr,1
1157,bny,2
1158,bobo,4
1159,bobok,1
1160,bobrok,1
1161,boco,1
1162,bocor,2
1163,bocorin,1
1164,bod,2
1165,bodoh,14
1166,boeing,1
1167,bohong,26
1168,boim,2
1169,bojo,1
1170,bole,4
1171,boleh,7
1172,bolehh,1
1173,bolo,4
1174,bom,10
1175,boming,1
1176,bondong,3
1177,bonek,1
1178,bongkar,4
1179,bongke,1
1180,boo,1
1181,book,2
1182,boomer,1
1183,booming,1
1184,booosss,1
1185,boossss,1
1186,bopi,1
1187,bor,1
1188,born,1
1189,borneo,1
1190,borong,1
1191,bos,5
1192,bose,1
1193,bosone,1
1194,bosqu,1
1195,bosss,1
1196,bosssss,1
1197,bossssssss,1
1198,botol,2
1199,bowl,1
1200,box,10
1201,boys,8
1202,boz,2
1203,bozzgadged,1
1204,bp,3
1205,bpakita,1
1206,bpjs,14
1207,bpjstk,1
1208,bpkh,7
1209,bpn,20
1210,bpom,5
1211,bps,1
1212,bpws,2
1213,br,4
1214,bradley,1
1215,braile,1
1216,brain,1
1217,bralasan,1
1218,brand,4
1219,branding,1
1220,brangkat,1
1221,brani,7
1222,brantas,2
1223,brati,1
1224,brawijaya,5
1225,brazil,4
1226,brbagai,1
1227,brda,1
1228,breaksi,1
1229,breakthrough,2
1230,brengan,1
1231,brian,2
1232,bridezilla,1
1233,briefing,1
1234,brigjen,1
1235,briliyan,1
1236,brimo,1
1237,brimob,9
1238,bripda,1
1239,brita,2
1240,britto,1
1241,brjalan,1
1242,broadway,2
1243,broken,1
1244,bromance,2
1245,bromo,5
1246,brow,1
1247,browww,1
1248,brp,14
1249,bru,2
1250,brush,1
1251,bsd,1
1252,bts,6
1253,btu,1
1254,bua,3
1255,buah,2
1256,buahaaa,1
1257,buahahahahahahha,1
1258,buang,7
1259,buangin,1
1260,buangkeee,1
1261,buannyak,1
1262,buanyaaak,1
1263,buat,40
1264,bubaaar,1
1265,bubar,2
1266,bubarin,1
1267,buchi,3
1268,bucket,1
1269,budaya,3
1270,budeg,1
1271,budget,5
1272,budgeting,1
1273,budiyanto,1
1274,budjang,85
1275,budjangers,3
1276,budok,1
1277,budug,1
1278,buenos,1
1279,buger,1
1280,buget,1
1281,bugis,3
1282,buher,1
1283,build,1
1284,bujugggggg,1
1285,buk,1
1286,buka,43
1287,bukak,4
1288,bukber,3
1289,buknx,1
1290,bukti,28
1291,buktiin,1
1292,buku,1
1293,bulak,1
1294,bulan,13
1295,bulau,1
1296,bulgaria,3
1297,bullying,2
1298,bulu,3
1299,buluh,1
1300,bululawang,2
1301,buly,1
1302,bumi,2
1303,bumiayu,3
1304,bun,2
1305,bundar,2
1306,bung,1
1307,bungkam,3
1308,bungkus,1
1309,buntut,1
1310,bunuh,16
1311,bunyi,2
1312,bur,1
1313,burapha,1
1314,burger,3
1315,burhanuddin,2
1316,buru,12
1317,buruh,1
1318,buruk,4
1319,buruuuan,1
1320,bus,4
1321,buser,1
1322,buserp,1
1323,busrin,1
1324,bustara,2
1325,busting,3
1326,busuk,2
1327,busyro,1
1328,butchery,1
1329,buthak,1
1330,buton,1
1331,butuh,129
1332,buwono,1
1333,buying,2
1334,buzeeer,1
1335,buzer,3
1336,buzerp,1
1337,buzerr,1
1338,buzerrp,5
1339,buzerrr,1
1340,buzzerpnya,1
1341,buzzerrp,5
1342,buzzers,1
1343,bwi,1
1344,bycln,1
1345,cabang,2
1346,cabe,1
1347,cabut,8
1348,cacar,1
1349,cacat,1
1350,caci,3
1351,cacing,3
1352,cadang,17
1353,caer,1
1354,cafe,4
1355,cagur,1
1356,cah,1
1357,cahari,1
1358,cahaya,1
1359,cair,16
1360,cairin,1
1361,cak,1
1362,cakada,1
1363,cakap,3
1364,cake,1
1365,cakep,3
1366,cakrawala,1
1367,cakup,2
1368,cald,1
1369,caleg,10
1370,california,5
1371,call,29
1372,calo,1
1373,calon,25
1374,cambuk,2
1375,camera,1
1376,camil,1
1377,campaign,2
1378,campak,1
1379,campur,7
1380,campus,1
1381,canada,1
1382,canang,1
1383,cancel,4
1384,cancer,1
