kata tidak baku,kata baku
sbelum,sebelum
smua,semua
mnapun,mana pun
ude,sudah
grgr,gara-gara
km,kamu
pulak,pula
dek,adik
prnh,pernah
prnah,pernah
blg,bilang
tdr,tidur
sklh,sekolah
skolah,sekolah
gabaik,tidak baik
cewe,cewek
cowo,cowok
cwe,cewek
cwo,cowok
psti,pasti
ak,aku
maapin,maafkan
liatin,melihat
kl,kalau
notif,notifikasi
notip,notifikasi
ngilangin,menghilangkan
ngilangi,menghilangkan
agak2,agak
nontonin,menonton
main2,main
gblg,bodoh
thx,terima kasih
nyampe,sampai
dlu,dulu
kdg,kadang
jrg,jarang
srg,sering
kak,kakak
mager,malas gerak
wa,whatsapp
fb,facebook
ig,instagram
ngak,tidak
gituh,begitu
liat,lihat
dengerin,mendengarkan
terooos,terus
ngeliat,melihat
maen,main
sm,sama
u,kamu
kaka,kakak
yawda,ya sudah
mo,mau
ujung2nya,ujungnya
lama2,semakin lama
duid,duit
gapernah,tidak pernah
sempet,sempat
sbnrnya,sebenarnya
pcr,pacar
mulu,melulu
kagak,tidak
pdkt,pendekatan
cape,capek
seneng,senang
iyah,ya
ngibul,kibul
gaenak,tidak enak
kesel,kesal
tjd,terjadi
bapa,bapak
grk,gerak
th,tahun
merubah,mengubah
tida,tidak
lbh,lebih
nda,tidak
uda,udah
ngk,tidak
dstu,di situ
lgsung,langsung
lgsng,langsung
jan,jangan
diem,diam
beneran,benar
ngapus,hapus
ngira,kira
emg,memang
emng,memang
dll,dan lainnya
gatau,tidak tahu
sekrng,sekarang
pakabar,apa kabar
jht,jahat
jahad,jahat
sumpa,sumpah
nak,anak
trims,terima kasih
ndaa,tidak
bsk,besok
hayuk,yuk
lur,teman
gmna,bagaimana
trtntu,tertentu
baek2,baik-baik
nyimeng,merokok ganja
korma,kurma
pa2,apa-apa
harammm,haram
pundi2,pundi
gaes,kawan
kader2,kader
jgnlah,janganlah
dech,deh
cuap2,bicara
bedera,bendera
mabok,mabuk
sabu2,sabu
sbagai,sebagai
kokean,kebanyakan
export,ekspor
ancurr,hancur
ancur,hancur
guoblok,bodoh
nga,tidak
laen,lain
ud,sudah
aba2,aba-aba
knpa,kenapa
dikmpng,di kampung
msng2,masing-masing
prustasi,frustasi
mala,malah
tw,tahu
taw,tahu
trdampak,terdampak
prtimbangan,pertimbangan
msyrkt,masyarakat
dngn,dengan
dng,dengan
kalok,kalau
tntng,tentang
kafeer,kafir
tipu2,tipu
hbs,habis
sok2an,berlagak
ttanpa,tanpa
mmg,memang
ntuh,itu
yaetuh,yaitu
sbenernya,sebenarnya
jls2,jelas
bngst,bangsat
4nies,anies
smpe,sampai
smoga,semoga
kocheng,kucing
brani,berani
moga,semoga
bnar,benar
mpersilakan,mempersilahkan
pjabat,pejabat
dipersoalkan,soal
dipake,pakai
dipakek,pakai
dipastiin,pasti
dipastikan,pasti
diperbuat,buat
diperbuatnya,buat
dopercoyo,percaya
diperkirakan,kira
dipergunakan,guna
diperlihatkan,lihat
diperlukan,perlu
diperlukannya,perlu
dipertanyakan,tanya
diphpin,bohong
mgkn,mungkin
direspon,respon
reply,balas
percya,percaya
pemerint,pemerintah
pemer,pemerintah
penyebara,penyebaran
muke,muka
mnybar,menyebar
sy,saya
skrng,sekarang
se7kah,setuju
7,tujuh
setujuh,setuju
yg,yang
gaberner,gubernur
ditebangin,tebang
skslian,sekalian
gluberner,gubernur
banjirrr,banjir
bnjr,banjir
faham,paham
vidio,video
nti,nanti
saj,saja
dngn,dengan
mgkn,mungkin
digeeembok,digembok
hrs,harus
doyan,suka
bngsat,bangsat
bngsd,bangsat
bngst,bangsat
toll,tol
mencopot,melepas
klu,kalau
brtambah,bertambah
jangkiti,jangkit
gedhe,besar
gede,besar
result,hasil
sabark,sabar
sssemanggi,semanggi
mengakui,akui
coronavi,coronavirus
betol,betul
hu,hutan
bacotan,bacot
bhkn,bahkan
gubern,gubernur
dpt,dapat
gabener,gubernur
sorotanlah,sorotan
dipimpin,pimpin
ntah,entah
serem,seram
thn,tahun
dijadikan,jadi
butuhi,butuh
mudah2an,semoga
ngerti,mengerti
diem,diam
emangnya,memang
peme,pemerintah
hoaxm,hoax
ketabrak,tabrak
bener,benar
keseret,seret
otaknya,otak
pkoknya,pokoknya
nendang,tendang
ninju,tinju
gimana,bagaimana
jugaa,juga
menginput,input
mkini,kini
pernoh,pernah
kalu,kalau
pitih,putih
boroknya,lukanya
mobile,mobil
berpungsi,berfungsi
diurus,urus
lbh,lebih
silakan,silahkan
accident,kecelakaan
prau,kapal
gethek,tongkat
kerendem,terendam
ngelambangin,lambang
bodohan,kebodohan
obrak,berantakan
nglempar,lempar
warg,warga
kelelep,tenggelam
nenteng2,bawa
merk,merek
seora,seorang
nyalahin,salah
discover,menemukan
nyoba,coba
nyebrang,sebrang
rmh,rumah
jakar,jakarta
aniesba,aniesbaswedan
menag,menang
mendagr,mendagri
p3nj3l4j4h,penjelajah
wargany,warganya
mencopot,copot
bokepnya,bokep
bgt,banget
focus,fokus
economic,ekonomi
capital,kapital
pulak,pula
gini,begini
tgjwb,tanggungjawab
ngangenin,rindu
ogeb,bego
majuuu,maju
ngimpi,mimpi
kyk,seperti
lair,lahir
punye,punya
harte,harta
ngatasin,atasi
sodara,saudara
nabrak,tabrak
gobloknya,bodohnya
pekok,bodoh
asu,anjing
ggh2an,gagah
wyg,wayang
hsil,hasil
yg,yang
goodbener,gubenur
nyampe,sampai
yng,yang
order,beli
4nies,anies
nila,nilai
erti,tahu
ojo,jangan
faham,paham
moga,semoga
rentet,rangkaian
bersma,bersama
duli,peduli
joko,jokowi
kehutana,kehutanan
nebang,tebang
dipercoyo,dipercaya
dipercaya,percaya
ngoceh,bicara
ginian,begini
p3njarakan,penjarakan
mukim,pemukiman
keruknisasi,dikeruk
layan,layanan
trabas,lewat
ngritik,kritik
jekardah,jakarta
salur,jalur
ngukur,ukur
serama,selama
lonsor,longsor
menghadang,hadang
org,orang
dialihfungsi,alihfungsi
smart,pintar
sllu,selalu
ngerahkan,kerahkan
pjabat,pejabat
smpai,sampai
gundulin,gundul
nyadar,sadar
